project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2011183,RE04_CT09_2026_D1,RE04-CT09,-76.53544,36.14445,2026-07-09 00:00:00,2026-08-21 00:00:00,None,,None,,2181097,Browning Recon Force HP5,0,Camera Functioning,Knee height,,Parallel,,,,9,Timbermill_Camera_Traps_2026,,,,,,Date and time wrong. Fixed manually
2011183,To02_CT05_2026_D1,TO02-CT05,-76.60679,36.14774,2026-06-18 00:00:00,2026-07-28 00:00:00,None,,None,,2181096,Browning Defender Pro Scout Max Extreme HD,0,Camera Functioning,Knee height,,Parallel,,,,24,Timbermill_Camera_Traps_2026,,,,,,
2011183,RE03_AD01_CamB_2026_D1_MC,RE03_AD01,-76.53149,36.1369,2026-03-28 00:00:00,2026-04-22 00:00:00,None,NA,None,NA,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,,,0.5,Timbermill_AHDriFT_2026_MC,,,,,,No timelapse
2011183,TE06_AD01_CamB_2026_D3_MC,TE06-AD01,-76.58263397,36.1493454,2026-06-02 00:00:00,2026-07-08 00:00:00,None,,None,,2181097,Browning Recon Force HP5,0,Camera Functioning,Knee height,,Pointed Downward,,,,0.5,Timbermill_AHDriFT_2026_MC,,,,,,
2011183,TE03_AD01_CamA_2026_D1_MC,TE03_AD01,-76.59934,36.14878,2026-04-10 00:00:00,2026-05-19 00:00:00,None,NA,None,NA,2181097,Browning Recon Force HP5,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,,,0.5,Timbermill_AHDriFT_2026_MC,,,,,,No timelapse
2011183,TO03_AD01_CamB_2026_D1_MC,TO03_AD01,-76.59822,36.14922,2026-04-10 00:00:00,2026-05-19 00:00:00,None,NA,None,NA,2181108,Reconyx Hyperfire HC500,0,Camera Functioning,Knee height,NA,Pointed Downward,NA,,,,Timbermill_AHDriFT_2026_MC,,,,,,
2011183,TO02_CT04_2026_D1,TO02-CT04,-76.60613,36.14702,2026-04-10 00:00:00,2026-05-19 00:00:00,None,,None,,2181096,Browning Defender Pro Scout Max Extreme HD,0,Camera Functioning,Knee height,,Parallel,,,,,Timbermill_Camera_Traps_2026,,,,,,No distances
2011183,TO15_AD01_CamA_2026_D3_MC,TO15_AD01,-76.61639,36.15133,2026-06-18 00:00:00,2026-07-27 00:00:00,None,,None,,2188084,Reconyx Hyperfire PC500,0,Camera Functioning,Knee height,,Pointed Downward,,,,,Timbermill_AHDriFT_2026_MC,,,,,,
2011183,TO16_AD01_CamA_2026_D2_MC,TO16-AD01,-76.58946228,36.16297531,2026-05-07 00:00:00,2026-06-02 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Functioning,Knee height,,Pointed Downward,,,,0.5,Timbermill_AHDriFT_2026_MC,,,,,,
2011183,RE03_AD01_CamA_2026_D1_MC,RE03-AD01,-76.53149414,36.13689804,2026-03-28 00:00:00,2026-04-09 00:00:00,None,,None,,2099588,Reconyx HC500 Hyperfire,0,Camera Hardware Failure,Knee height,,Pointed Downward,,,,0.5,Timbermill_AHDriFT_2026_MC,,,,,,1-minute timelapse
